ID_CUAD;PRESENCE;BREEDING;FOREST;BROADLEAVED;ECOTONES;HUMANPOP;URBAN;RUG
16934;1;1;64.56;0.2;9.02;39.68;0.05;177.81
16346;1;0;54.51;0.09;2.97;130.13;0.04;265.84
15787;1;0;40.41;0.22;0;165.86;0.06;224.22
15964;1;1;61.46;0.27;11.2;41.79;0.04;132.7
16646;1;0;60.77;0.27;3.23;53.41;0.08;172.23
16485;1;1;50.53;0.09;4.33;139.96;0.04;230.2
16747;1;1;52.66;0.16;4.24;93.31;0.03;265.51
16757;1;0;27.56;0;3.87;86.86;0.04;114.45
14958;1;0;17.93;0.22;2.33;397.03;0.08;37.41
16345;1;0;48.13;0.05;1.09;148.89;0.04;242.53
16633;1;0;60.74;0.7;2.12;171.55;0.06;240.7
16194;1;1;40.73;0.03;6.52;184.62;0.05;256.12
16493;1;1;49.28;0.44;0;235.06;0.07;211.68
17774;1;1;79.11;0.88;9.73;4.85;0.00382918;262.32
16786;1;1;62.98;0.14;5.38;41.65;0.07;174.2
16198;1;0;55.38;0.21;1.1;95.48;0.02;265.4
16607;1;0;51.56;0.08;1.32;127.65;0.03;264.94
16927;1;0;68.36;0.81;5.07;34.55;0.05;172.78
17776;1;1;72.35;0.42;14.58;4.61;0.00310868;219.13
16623;1;0;39.54;0;5.49;149.86;0.06;181.03
17319;1;1;43.16;0;7.03;86.13;0.03;401.16
15506;1;0;25.33;0.22;0.11;215.37;0.1;140.22
16762;1;0;35.69;0;0.59;145.24;0.07;167.08
17353;1;1;82.81;0.23;1.53;11.79;0.01;260.53
17350;1;1;81.26;0.6;2.85;14.44;0.01;249.83
15962;1;1;62.47;0;2.44;41.72;0.03;144.58
17068;1;1;63.63;0.63;2.77;26.48;0.02;176.51
17492;1;1;87.78;0.22;4.04;9.41;0.01;293.54
16103;1;1;66.76;0.18;9.07;30.44;0.03;135.33
15098;1;0;23.21;0.01;1;208;0.07;48.82
16101;1;1;66.17;0.06;0.97;46.17;0.03;147.58
15685;1;0;54.96;0.23;1.15;62.03;0.05;127.48
14415;1;0;19.1;0.02;0;91.34;0.06;20.97
16495;1;1;49.87;0.42;0;216.55;0.07;207.68
16913;1;1;65.44;0.46;1.74;70.96;0.06;244.47
17455;1;1;46.51;0;2.5;85.48;0.01;457.32
14972;1;0;22.98;0.005862842;1.82;189.58;0.07;57.55
17355;1;1;79.59;0.51;3.99;8.75;0.01;244.06
15774;1;1;37.5;0.13;0;481.03;0.05;195.83
17457;1;1;47.1;0;1.05;81.34;0.02;485.33
15253;0;0;25.99;0.17;0;161.1;0.09;103.4
15212;0;0;14.48;0;0.31;567.17;0.05;28.1
15680;0;0;31.9;0.3;1.35;103.89;0.06;117.85
14666;0;0;29.46;0.03;8.74;568.96;0.05;33.81
15533;0;0;23.81;0.29;0.88;158.34;0.09;104.2
15545;0;0;42.25;0.17;0.5;70.72;0.06;120.68
16223;0;0;43.37;0.23;4.18;129.79;0.06;155.24
15376;0;0;24.48;0.47;0;167.37;0.08;92.84
15672;0;0;24.97;0.05;1.59;213.27;0.1;98.06
14987;0;0;12.22;1;0;162.31;0.07;66.39
15814;0;0;22.31;0.32;0;209.1;0.08;99.3
16375;0;0;33.65;0.75;0;130.44;0.07;129.31
15227;0;0;16.47;1;0;288.06;0.11;79.87
15396;0;0;27.85;0;0;124.27;0.08;115.87
16089;0;0;19.63;0.81;0.6;226.41;0.11;91.16
15926;0;0;41.82;0.25;0;157.65;0.05;235.5
15084;0;0;16.72;1;0.19;313.51;0.08;48.46
15362;0;0;18.89;0.48;0;263.06;0.07;93.65
15363;0;0;18.62;1;0.11;235.2;0.09;94.24
15940;0;0;27.07;0.009973088;0;139.51;0.08;136.14
15658;0;0;31.46;0.000477501;0;124.89;0.09;154.92
15955;0;0;20.03;0.05;0;192.58;0.07;89.97
16789;0;0;58.41;0.17;10.56;43.75;0.03;160.65
16072;0;0;35.6;0;0;139.03;0.08;241.09
15408;0;0;30.52;0.65;0.16;107.55;0.07;95.13
14985;0;0;14.02;0;0;322.24;0.07;69.86
16086;0;0;29.85;0.13;0.52;182.03;0.09;121.67
16358;0;0;45.73;0.35;0;125.31;0.07;186.72
15663;0;0;24.3;0;0.79;126.55;0.09;112.8
15220;0;0;13.45;0.67;1.11;439.37;0.07;42.31
15536;0;0;26.82;0;0;137.1;0.08;121.7
16489;0;0;51.85;0.47;0.23;112.34;0.06;256.6
15274;0;0;9.47;0;0;115.53;0.06;22.09
16515;0;0;41.43;0.12;0;120.37;0.07;145.17
15934;0;0;29.92;0.04;0;148.62;0.08;201.56
16356;0;0;39.93;0.09;0;232.65;0.08;179.9
14990;0;0;7.54;0.42;0.04;193.17;0.09;50.02
15800;0;0;25.08;0.14;0;122.51;0.09;128.37
16644;0;0;62.89;0.55;1.39;37.93;0.08;179.67
14855;0;0;20.01;1;0;134.03;0.06;23.6
15258;0;0;21.69;0;0.11;180.17;0.08;100.6
16234;0;0;25.11;1;0;129.1;0.07;100.36
16079;0;0;28.87;0.21;0;162;0.08;149.07
16204;0;0;41;0.08;2.75;132.75;0.05;221.22
15775;0;0;36.73;0.02;2.52;491.75;0.05;199.68
15531;0;0;25.29;0.49;0;166.93;0.1;104.3
16078;0;0;26.93;0;0;236;0.08;150.59
16332;0;0;41.65;0.03;7.57;162.96;0.05;285.62
15080;0;0;16.99;0.16;1.53;506.03;0.06;24.78
15236;0;0;22.93;1;0;238.55;0.08;70.11
15254;0;0;27.37;0;0;154.79;0.07;104.97
15073;0;0;18.37;0;0;636.79;0.05;28.26
15104;0;0;23.39;0;0.52;236.68;0.08;53.73
15211;0;0;9.92;0;0;622.81;0.05;30.4
17041;0;0;39.71;0.14;1.33;116.1;0.07;212.65
15123;0;0;17.83;0.93;0;355.44;0.07;81.05
14848;0;0;12.72;0;0;175.24;0.07;52.23
15094;0;0;6.79;0;0.33;985.62;0.08;56.39
15683;0;0;47.54;0.17;1.92;64.06;0.04;130.68
16639;0;0;59.51;0.19;13.32;43.58;0.06;208.54
15501;0;0;28.76;0.05;0;254.48;0.07;135.9
15798;0;0;27.85;0.12;0;159.2;0.09;153.65
16480;0;0;35.27;0;1.27;107.03;0.05;146.2
15818;0;0;29.7;0.24;0;117.24;0.07;113.31
15409;0;0;26.32;0.67;0.75;178.34;0.09;81.31
15269;0;0;21.31;1;0;125.27;0.08;75.69
15493;0;0;14.85;0.11;0.65;377.13;0.06;58.05
16776;0;0;61.38;0.05;2.86;65.44;0.05;219.65
15114;0;0;22.93;0.93;0.2;190.48;0.08;90.18
15827;0;0;43.31;0.54;0;152.96;0.07;109.34
15383;0;0;25.25;0.88;0;183;0.1;96.07
15244;0;0;21.32;0.63;0;273.06;0.1;76.06
15656;0;0;30.94;0.14;0;140.65;0.08;167.03
16468;0;0;49.92;0;2.93;129.17;0.03;259.91
16659;0;0;63.21;0.34;8.5;46.82;0.05;146.14
15771;0;0;31.34;0.78;0;335.06;0.05;143.15
16195;0;0;46.62;0.1;4.89;159.03;0.05;265.32
15961;0;0;58.06;0.08;7.05;53.55;0.04;150.47
16091;0;0;20.65;1;0;211.13;0.1;90.39
14795;0;0;29.79;0.01;2.24;641.41;0.05;29
15412;0;0;8.45;0;0;188.7;0.07;37.64
15670;0;0;21.3;0.24;0.19;175.79;0.11;96.93
16238;0;0;49.7;0.69;3.12;113.27;0.06;145.7
16469;0;0;47.67;0;5.04;122.55;0.03;279.55
14529;0;0;37.19;0.1;1.52;396.48;0.06;50.32
15653;0;0;26.32;0.03;0;134.06;0.09;167.27
15922;0;0;44.36;0.08;0;134.44;0.05;231.45
15105;0;0;20.21;0;0.11;294.34;0.1;58.17
